Combined ID	Diagram Name	Lifecycle Phase	Architecture Domain	Abstraction Level	UI Card Description	Intent Trigger Keywords	Core GCP Services Featured	Notation Standard	Golden Example Payload	Generative Build Sequence	How to Handle Advanced Prompts	Target Audience & Persona	Live Railway Link
P1-APP-L-01_legacy_data_dependency_map	Legacy Data Dependency Map	Phase 1: Current State Assessment & Baseline	App & Integration	Logical	Visualizes on-prem legacy spaghetti dependencies, database coupling, shadow IT extracts, and Migration Center wave planning.	legacy, on-prem, spaghetti, current state, baseline, old systems, discovery, stratozone	StratoZone, Migrate to Containers, Migration Center, BigQuery, Cloud Storage, Gemini 3.7 Flash	Discovery Dependency Mapping	Design a legacy data dependency map visualizing on-prem SQL databases, ETL scripts, and shadow IT extracts discovered by StratoZone for wave planning in Migration Center.	1. Draw On-Prem Core Monolith & Shadow DBs. 2. Draw StratoZone Discovery Probe tier. 3. Draw Migration Wave Classification (Waves 1-3). 4. Draw Target Cloud Architecture with Strangler Proxy. 5. Add SOC2/ISO badges.	If [Mainframe] requested: Add z/OS DB2, CICS connectors, and MQ series queues in Tier 1.	Creator: Discovery Lead / Solutions Arch. | Consumers: Cloud Migration Team | Stakeholders: Legacy App Owners / CTO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-APP-L-01_legacy_data_dependency_map
P1-APP-L-01_hybrid_strangler_fig_transition	Hybrid / Strangler Fig Transition Architecture	Phase 1: Current State Assessment & Baseline	App & Integration	Logical	Apigee API Gateway intercepting client traffic, routing legacy features to on-prem databases and modern features to GCP GKE.	strangler fig, hybrid migration, apigee routing, on-prem coexistence, legacy monolith, cloud interconnect, vpn backup	Apigee API Gateway, Dedicated Cloud Interconnect (10G), Cloud HA VPN, GKE Autopilot, Cloud SQL for PostgreSQL, Cloud Monitoring	Strangler Fig Traffic Facade	Design a hybrid strangler fig migration architecture where incoming client requests hit Apigee API Gateway, legacy queries route over 10G Dedicated Interconnect to an on-prem Oracle DB, and modernized services run on GKE with Cloud SQL.	1. Draw On-Premises Datacenter container (Legacy App, SQL DB, Mainframe). 2. Draw GCP VPC container with Apigee Gateway, GKE Microservices, and Cloud SQL. 3. Connect via dual Cloud Interconnect (Active) and Cloud VPN (Backup). 4. Route client requests into Apigee with conditional legacy vs new paths. 5. Add SOC2/HIPAA compliance badges.	If [High Security] or [Zero-Trust] requested: Add Cloud Armor WAF in front of Apigee, VPC Service Controls perimeters, and TLS 1.3 inspection.	Creator: Discovery Lead / Solutions Arch. | Consumers: Cloud Migration Team | Stakeholders: Legacy App Owners / CTO	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-APP-L-01_hybrid_strangler_fig_transition
P1-GOV-C-02_value_stream_map_vsm	Enterprise AI Architecture & Delivery Value Stream Map	Phase 1: Current State Assessment & Baseline	Strategy & Governance	Conceptual	Enterprise AI delivery value stream measuring lead time, process time, automated quality gates, and process efficiency.	value stream map, vsm, lead time, process time, automated gates, ai delivery lifecycle, agile governance, lean	Vertex AI Pipelines, Cloud Build, Artifact Registry, Cloud Deploy, Cloud Monitoring, BigQuery Metrics Export, Gemini 3.7 Flash	Value Stream Map (VSM) Standard	Generate an Enterprise AI Delivery Value Stream Map showing Inception, Data Prep, Model Training, Safety Evaluation, and Deployment with LT/PT metrics and automated quality gates.	1. Draw horizontal timeline chevron header (Inception -> Ingestion -> Model Prep -> Safety Eval -> Deploy). 2. Add stage cards with LT, PT, and %C&A KPIs. 3. Draw automated quality gate pills between stages. 4. Render bottom timeline showing Total Lead Time vs Processing Time ratio.	If [Lean Metric Breakdown] requested: Calculate Process Efficiency = (Total Processing Time / Total Lead Time) * 100% and render in executive summary callout.	Creator: Lean/Agile Coach / Enterprise Arch. | Consumers: Business Unit Leaders | Stakeholders: Chief AI Officer / VP Engineering	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-GOV-C-02_value_stream_map_vsm
P1-GOV-C-03_as_is_vs_to_be_process_flow	As-Is vs. To-Be Process & Architecture Flow	Phase 1: Current State Assessment & Baseline	Strategy & Governance	Conceptual	Top: Manual legacy triage & batch ETL. Bottom: Sub-50ms real-time lakehouse & Gemini Enterprise cognitive architecture with ROI scorecard.	as-is vs to-be, modernization ROI, legacy comparison, before after, modernization roadmap, cost reduction	Cloud Pub/Sub, Cloud Dataflow, BigQuery BigLake, Vertex AI Agent Builder, Gemini 3.7 Flash, Looker Studio, Cloud Storage	Split-Screen Architecture Transformation	Show a split-screen As-Is vs To-Be modernization architecture comparing legacy on-prem overnight batch ETL and manual spreadsheet triage against a real-time Pub/Sub Lakehouse and Gemini Agentic mesh.	1. Draw top red-tinted container: 'As-Is Legacy State' with on-prem monolith, batch cron jobs, and manual handoffs. 2. Draw bottom green-tinted container: 'To-Be GCP Cloud Native State' with real-time stream, Lakehouse, and Gemini Agents. 3. Insert center Transformation Arrow with ROI scorecard (80% Latency Reduction, $1.2M Annual Savings).	If [Executive Financials] requested: Inject OPEX vs CAPEX comparison breakdown table on right margin.	Creator: Principal Solutions Architect | Consumers: C-Suite & Board Members | Stakeholders: CIO, CFO, Business Sponsors	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P1-GOV-C-03_as_is_vs_to_be_process_flow
P2-GOV-C-03_cloud_finops_chargeback_model	Cloud FinOps & Chargeback Model	Phase 2: Business Vision & Strategy Alignment	Strategy & Governance	Conceptual	Multi-tenant cost allocation tagging taxonomy, BigQuery billing export, showback/chargeback, and Looker executive budget alerts.	finops, chargeback, showback, cost allocation, billing export, cloud unit economics, token budget	Cloud Billing Export, BigQuery, Looker Studio, Cloud Functions, Pub/Sub, Cloud Budgets API, Vertex AI Quota Governor	FinOps Allocation Matrix	Build a Cloud FinOps Chargeback architecture showing Google Cloud Billing Export streaming into BigQuery, automated cost anomaly detection via Cloud Functions, and Looker showback dashboards for 5 Business Units.	1. Draw Resource Tagging Tier (GCP Projects with env/cost-center tags). 2. Draw Ingestion Pipeline (Billing Export -> BigQuery partitioned table). 3. Draw Analytics & Alerting Tier (Cost Anomaly detection ML, Looker Dashboards). 4. Draw Chargeback Invoicing Engine routing monthly PDF reports to BU Leaders.	If [GenAI Token FinOps] requested: Add Model Quota Governor and Token Attribution per Team/Prompt.	Creator: FinOps Lead Architect | Consumers: Department Budget Owners | Stakeholders: Finance, VP Cloud Infrastructure	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P2-GOV-C-03_cloud_finops_chargeback_model
P3-APP-C-01_total_unified_system_view	Total Unified System View	Phase 3: Target State Logical Architecture	App & Integration	Conceptual	Total integrated architecture consolidating data foundation, AI cognitive lifecycle, VPC network topology, and governance.	unified system view, total platform, master blueprint, panoramic architecture, enterprise reference model	Cloud Storage, Cloud Dataflow, BigQuery BigLake, Vertex AI Agent Builder, Gemini 3.7 Flash, Cloud Armor, GKE Autopilot, Looker	Panoramic Enterprise Architecture	Generate a panoramic Total Unified System View covering Multi-Modal Ingestion, Medallion Lakehouse on BigQuery, Gemini Multi-Agent Mesh, VPC-SC Security Perimeter, and Executive Cockpit.	1. Draw Ingestion Tier (Batch, Streaming, Multi-Modal). 2. Draw Lakehouse Foundation (Bronze, Silver, Gold BigLake). 3. Draw Cognitive Intelligence Layer (Gemini Pro, Vector Search, Tool Mesh). 4. Wrap with Zero-Trust VPC-SC and Cloud Armor Perimeter. 5. Draw Top Presentation Cockpit.	If [Zero-Trust High-Density] requested: Add CMEK Cloud KMS keys, Private Service Connect links, and 21 CFR Part 11 audit trails.	Creator: Chief Enterprise Architect | Consumers: All Technical & Business Teams | Stakeholders: CTO, CISO, Chief Data Officer	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-APP-C-01_total_unified_system_view
P3-AI-L-02_cognitive_architecture_agentic_rag	Cognitive Architecture / Agentic RAG	Phase 3: Target State Logical Architecture	AI Agentic & LLMOps	Logical	Multi-agent ReAct orchestration loop (Thought -> Action -> Observation -> Synthesis) with 100% circular ring geometry.	agentic rag, cognitive architecture, react loop, vector search, semantic embeddings, knowledge grounding, mcp tools	Vertex AI Vector Search, Vertex AI Agent Builder, Gemini 3.7 Flash, Cloud Storage, Model Armor, Cloud Functions MCP Tools	Tangential ReAct Ring	Build a Cognitive Agentic RAG architecture featuring text-embedding-004 chunking, Vertex AI Vector Search, a 4-stage circular ReAct loop (Thought -> Action -> Observation -> Synthesis), and Gemini 3.7 Flash reasoning.	1. Draw Ingestion & Chunking pipeline (GCS -> Document AI -> Embedding Engine). 2. Draw Vector Search & Metadata Store. 3. Build central ReAct circular loop with 4 curved tangential arcs. 4. Attach Model Armor guardrails and external MCP tool calling.	Enforce 100% smooth curved tangential ring geometry (curved=1) with zero straight diagonal crossing lines.	Creator: Principal AI Architect | Consumers: AI Application Developers | Stakeholders: Head of AI / Product Management	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-AI-L-02_cognitive_architecture_agentic_rag
P3-AI-L-03_hub_and_spoke_agent_mesh	Hub-and-Spoke Agent Configuration Map	Phase 3: Target State Logical Architecture	AI Agentic & LLMOps	Logical	Hub-and-Spoke agent coordination model with Super-Orchestrator Hub, Domain Spoke agents, and human review gates.	hub and spoke, multi-agent mesh, agent supervisor, domain agents, subagents, agent delegation	Vertex AI Agent Builder, Gemini 3.7 Flash / Pro, Pub/Sub Agent Bus, Cloud Run Agent Containers, BigQuery Audit Log	Hub-and-Spoke Agent Mesh	Create a Hub-and-Spoke Multi-Agent Mesh with a central Gemini 3.7 Super-Orchestrator dispatching tasks to SQL Agent, Research Agent, and Compliance Agent with HITL fallback.	1. Draw central Hub node: 'Super-Orchestrator Agent'. 2. Draw surrounding Spoke nodes in radial layout. 3. Connect bidirectional gRPC coordination channels. 4. Add bottom Human-in-the-Loop review gate for low confidence executions.	If [State Persistence] requested: Add Redis Memorystore distributed agent session memory bus.	Creator: AI Systems Architect | Consumers: Agent Engineers | Stakeholders: Chief AI Architect	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-AI-L-03_hub_and_spoke_agent_mesh
P3-DAT-L-04_gcp_enterprise_data_lakehouse	GCP Enterprise Data Lakehouse & Gemini Agentic Mesh	Phase 3: Target State Logical Architecture	Data & Analytics	Logical	Medallion Lakehouse schema on BigQuery BigLake with Dataplex fabric, GE Industrial Cockpit, and Gemini Agentic mesh.	data lakehouse, biglake, medallion architecture, bronze silver gold, dataplex, bigquery, spark dataproc	Cloud Storage, Dataproc Serverless, BigQuery BigLake, Dataplex Universal Catalog, Cloud Data Fusion, Looker Studio, Gemini 3.7 Flash	Medallion Lakehouse & BigLake Fabric	Build a GCP Enterprise Data Lakehouse with Bronze (Raw GCS), Silver (Parquet / Iceberg via Dataproc Spark), and Gold (BigQuery BigLake tables) managed by Dataplex and analyzed in Looker.	1. Draw Ingestion Sources on left. 2. Draw 3-tier Medallion containers: Bronze Raw, Silver Refined, Gold Aggregated. 3. Overlay Dataplex governance fabric across all tiers. 4. Connect rightward to Looker Analytics and Gemini AI agent consumers.	Ensure 100% density with GE Industrial Cockpit, automated PII masking tags, and Data Lineage connectors.	Creator: Principal Data Platform Architect | Consumers: Data Engineers & Analytics Teams | Stakeholders: Chief Data Officer	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-DAT-L-04_gcp_enterprise_data_lakehouse
P3-DAT-L-05_dimensional_data_model_erd	Dimensional Data Model - Crow's Foot ERD	Phase 3: Target State Logical Architecture	Data & Analytics	Logical	Enterprise Star/Snowflake schema showing Fact tables, Dimension tables, Feature Store views, and pgvector embeddings.	erd, entity relationship diagram, dimensional model, star schema, snowflake schema, crows foot, pgvector	Cloud SQL for PostgreSQL (pgvector), AlloyDB AI, BigQuery, Vertex AI Feature Store, Datastream CDC	Crow's Foot Entity-Relationship (ERD)	Generate a Crow's Foot ERD with Fact_Transactions, Dim_Customer, Dim_Product, Dim_Date, and Table_Embeddings with 1536-dim vector columns and explicit PK/FK links.	1. Draw central Fact Table (Fact_Orders, Fact_Telemetry). 2. Draw surrounding Dimension Tables (Dim_User, Dim_Device, Dim_Location). 3. Connect with Crow's Foot cardinality lines (1:N, 1:1). 4. Highlight vector embedding columns with purple badges.	Enforce zero line slicing through table bodies; route orthogonal connectors through dedicated channel margins.	Creator: Lead Database Modeler | Consumers: Backend & Data Engineers | Stakeholders: Data Engineering Lead	https://promptcanvas-production-235c.up.railway.app/workspace?blueprint=P3-DAT-L-05_dimensional_data_model_erd
